name,party,chamber,state,median_rt,tweet_count,LLS
Gwen Moore,Democrat,House,WI,6.0,3222,48.47
Gov. Asa Hutchinson,Republican,House,AR,6.0,3215,48.46
Steve Cohen,Democrat,House,TN,6.0,3194,48.42
Rep. Mark Pocan,Democrat,House,WI,6.0,3103,48.24
Rep. Tulsi Gabbard,Democrat,House,HI,6.0,2593,47.17
Hakeem Jeffries,Democrat,House,NY,6.0,2204,46.19
Jim Cooper,Democrat,House,TN,6.0,2161,46.07
Jerry Moran,Republican,Senate,KS,3.0,3242,43.65
Steve Daines,Republican,Senate,MT,3.0,3233,43.64
Senator Deb Fischer,Republican,Senate,NE,3.0,3225,43.63
Senator Joe Donnelly,Democrat,Senate,IN,3.0,3222,43.62
Senator Gary Peters,Democrat,Senate,MI,3.0,3223,43.62
Sen. Lisa Murkowski,Republican,Senate,AK,3.0,3215,43.61
Senator Roy Blunt,Republican,Senate,MO,3.0,3218,43.61
Governor Jim Justice,Republican,Senate,WV,3.0,3210,43.6
Governor Mark Dayton,Democrat,Senate,MN,3.0,3204,43.59
Senator Roger Wicker,Republican,Senate,MS,3.0,3200,43.58
Senator John Boozman,Republican,Senate,AR,3.0,3141,43.48
Senator Jon Tester,Democrat,Senate,MT,3.0,3071,43.36
Gov. Pete Ricketts,Republican,Senate,NE,3.0,2497,42.25
Senator John Hoeven,Republican,Senate,ND,3.0,2035,41.14
Martha McSally,Republican,Senate,AZ,3.0,1984,41.0
Nanette D. Barragán,Democrat,House,CA,6.0,898,40.81
Rep. Terri A. Sewell,Democrat,House,AL,5.0,3240,40.42
Joyce Beatty,Democrat,House,OH,5.0,3242,40.42
Judy Chu,Democrat,House,CA,5.0,3237,40.41
Mario Diaz-Balart,Republican,House,FL,5.0,3228,40.4
Dwight Evans,Democrat,House,PA,5.0,3231,40.4
"Rep. Paul Gosar, DDS",Republican,House,AZ,5.0,3195,40.35
James Comer,Republican,House,KY,5.0,3181,40.33
Rep. Diana DeGette,Democrat,House,CO,5.0,3178,40.32
Senator Mike Rounds,Republican,Senate,SD,3.0,1739,40.29
SenDanSullivan,Republican,Senate,AK,3.0,1582,39.78
Rep. Ted Lieu,Democrat,House,CA,5.0,2705,39.52
Earl Blumenauer,Democrat,House,OR,5.0,2664,39.44
Rep. Val Demings,Democrat,House,FL,6.0,689,39.22
Warren Davidson,Republican,House,OH,6.0,677,39.11
Rep. Trent Franks,Republican,House,AZ,5.0,2172,38.42
Ron DeSantis,Republican,House,FL,5.0,2016,38.05
Rep. Salud Carbajal,Democrat,House,CA,7.0,193,36.88
Senator Jim Risch,Republican,Senate,ID,3.0,713,35.48
Lou Correa,Democrat,House,CA,7.0,130,34.13
Jim Banks,Republican,Senate,IN,3.0,526,33.84
Bob Goodlatte,Republican,House,VA,4.0,3245,32.34
Rep. Tim Murphy,Republican,House,PA,4.0,3246,32.34
